id xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag
1 78.19 12.53 0.63 0.21 0.16 25 0.00 1801.00 3.59 -1.39
2 284.74 12.43 0.61 -0.44 0.06 25 0.00 5707.00 11.89 -2.69
3 323.52 11.92 0.50 -0.17 -0.13 25 0.00 1222.00 2.84 -1.14
4 789.19 11.82 0.60 -0.10 -0.16 25 0.00 1008.00 2.11 -0.81
5 890.98 11.74 0.40 0.28 -0.43 25 0.00 787.00 1.41 -0.37
6 905.88 11.81 0.54 -0.05 0.13 25 0.00 767.00 1.24 -0.24
7 993.92 12.59 0.52 -0.23 0.09 25 0.00 4228.00 7.78 -2.23
8 654.88 12.67 0.46 -0.22 -0.11 25 0.00 1081.00 2.64 -1.05
9 630.63 14.05 0.52 -0.26 0.03 25 0.00 750.00 1.70 -0.58
10 53.96 15.30 0.62 -0.10 0.06 25 0.00 9274.00 19.67 -3.23
11 82.78 15.12 0.66 -0.25 0.30 25 0.00 2021.00 3.76 -1.44
12 679.47 14.61 0.55 -0.21 -0.24 25 0.00 596.00 1.39 -0.36
13 726.21 15.05 0.48 -0.38 -0.24 25 0.00 663.00 1.66 -0.55
14 104.83 15.66 0.63 0.09 0.21 25 0.00 1027.00 2.23 -0.87
15 769.33 16.12 0.55 -0.20 -0.13 25 0.00 3003.00 6.29 -2.00
16 376.40 17.33 0.55 -0.19 -0.04 25 0.00 583.00 1.29 -0.27
17 558.93 16.66 0.53 -0.05 -0.02 25 0.00 1837.00 4.03 -1.51
18 818.20 17.37 0.68 -0.14 0.05 25 0.00 721.00 1.44 -0.40
19 82.90 17.61 0.71 0.28 0.48 25 0.00 1580.00 2.63 -1.05
20 699.57 18.63 0.49 0.32 -0.03 25 0.00 2943.00 6.21 -1.98
21 780.90 18.37 0.57 -0.02 -0.07 25 0.00 1502.00 2.93 -1.17
22 994.71 17.75 0.46 0.43 0.40 25 0.00 2437.00 4.28 -1.58
23 25.30 20.39 0.70 -0.08 0.02 25 0.00 990.00 1.61 -0.52
24 159.32 19.83 0.62 -0.12 -0.06 25 0.00 1599.00 3.42 -1.33
25 361.21 19.86 0.57 -0.40 0.13 25 0.00 3201.00 6.69 -2.06
26 616.85 20.58 0.60 -0.35 0.17 25 0.00 522.00 1.08 -0.09
27 850.80 19.81 0.57 0.11 -0.17 25 0.00 1140.00 2.19 -0.85
28 921.04 19.96 0.53 0.06 -0.02 25 0.00 4156.00 7.85 -2.24
29 22.58 22.24 0.57 -0.48 -0.18 25 0.00 3538.00 6.91 -2.10
30 173.14 22.80 0.60 -0.10 -0.03 25 0.00 1490.00 3.39 -1.33
31 190.69 22.15 0.47 0.03 0.13 25 0.00 516.00 1.28 -0.26
32 233.23 23.33 0.64 0.08 0.04 25 0.00 30711.00 63.26 -4.50
33 330.99 22.43 0.39 0.43 0.47 25 0.00 351.00 1.01 -0.01
34 468.83 23.30 0.62 -0.82 -0.16 25 0.00 1496.00 2.82 -1.12
35 546.98 22.83 0.55 -0.08 -0.03 25 0.00 8119.00 17.28 -3.09
36 843.27 22.88 0.59 -0.26 -0.02 25 0.00 808.00 1.56 -0.49
37 287.89 24.07 0.60 -0.11 0.07 25 0.00 549.00 1.36 -0.33
38 345.85 23.54 0.56 0.06 0.13 25 0.00 2128.00 4.74 -1.69
39 114.06 24.84 0.57 0.26 -0.18 25 0.00 859.00 1.75 -0.61
40 168.88 25.39 0.61 0.03 0.06 25 0.00 901.00 2.05 -0.78
41 785.98 25.15 0.63 -0.28 -0.27 25 0.00 1470.00 2.62 -1.05
42 787.50 25.05 0.57 -0.06 -0.91 25 0.00 782.00 1.22 -0.21
43 909.03 25.22 0.56 -0.07 -0.08 25 0.00 928.00 1.84 -0.66
44 565.52 25.90 0.56 0.41 -0.32 25 0.00 2410.00 4.59 -1.65
45 183.97 27.42 0.59 -0.34 -0.18 25 0.00 609.00 1.38 -0.35
46 280.14 26.85 0.60 -0.10 0.06 25 0.00 2445.00 5.11 -1.77
47 845.24 26.65 0.52 -0.07 -0.00 25 0.00 571.00 1.14 -0.14
48 70.42 28.55 0.46 -0.13 0.28 25 0.00 733.00 1.61 -0.52
49 137.46 28.23 0.62 -0.03 -0.01 25 0.00 1057.00 2.24 -0.88
50 13.12 28.90 0.56 0.18 0.21 25 0.00 817.00 1.58 -0.50
51 34.08 29.78 0.70 0.22 0.82 25 0.00 1079.00 1.75 -0.61
