Refer to https://github.com/lutherastrophysics/new_ref_file for more info
Star Data Extractor Tool
    Images: m23_3.5_071.fit (2003) and m23_7.0_2022-06-19_0028.fit
    Stars Found: 2508 (good stars) in 2003 img + 1246 in 2022
    Radius of star diaphragm:
    Sky annulus inner radius:
    Sky annulus outer radius:
    Threshold factor: High =
         X	         Y	     Sigma	      FWHM	   Sky ADU	  Star ADU
    746.58	    459.64	      2.00	      4.70	    760.80	1200972.00
    547.57	    493.95	      1.50	      3.52	    763.20	 714867.40
    462.38	    523.01	      1.50	      3.52	    769.00	 707353.70
    230.97	    347.20	      1.69	      3.98	    756.70	 587742.80
    112.45	    420.52	      1.97	      4.64	    760.10	 581211.00
    153.63	    614.49	      1.80	      4.23	    743.00	 526216.60
    957.99	    389.36	      1.16	      2.74	    720.90	 508107.50
    500.73	    376.04	      1.32	      3.09	    747.80	 467604.90
    550.72	    571.94	      1.36	      3.20	    752.60	 441891.80
    369.82	    409.03	      1.44	      3.39	    775.90	 412514.20
    580.00	    819.65	      1.55	      3.64	    726.00	 383154.40
    479.33	    572.02	      1.47	      3.45	    757.90	 374358.20
    336.75	    573.45	      1.49	      3.51	    746.50	 356910.20
    586.45	     96.41	      1.58	      3.72	    724.80	 349010.10
    366.07	    362.05	      1.57	      3.68	    762.80	 343898.80
    700.99	    686.01	      1.31	      3.08	    732.30	 342701.30
    580.56	    561.08	      1.32	      3.11	    741.20	 342450.00
    457.39	    309.47	      1.49	      3.51	    741.60	 327616.30
     83.07	    774.68	      1.87	      4.39	    726.30	 324352.90
   1003.41	    330.14	      1.32	      3.11	    706.40	 318388.60
    342.10	    460.34	      1.55	      3.64	    764.80	 316395.30
    757.90	    281.49	      1.30	      3.05	    723.80	 313490.30
    676.07	    464.36	      1.26	      2.97	    761.60	 312211.10
    447.49	    738.34	      1.57	      3.68	    740.60	 288812.20
    539.54	    426.10	      1.31	      3.09	    741.40	 262292.20
    359.43	    497.46	      1.59	      3.74	    757.40	 218534.60
    860.07	    632.30	      1.28	      3.01	    716.20	 214571.40
    496.51	    628.96	      1.50	      3.53	    734.80	 211673.50
    621.56	    446.08	      1.26	      2.95	    740.40	 205092.90
    922.94	    603.64	      1.29	      3.03	    716.20	 199983.60
    453.51	    390.57	      1.49	      3.50	    741.70	 199532.90
    202.58	    647.99	      1.71	      4.02	    732.30	 197060.60
    750.18	    556.76	      1.29	      3.04	    725.00	 193093.40
    413.63	    887.82	      1.83	      4.29	    728.70	 192242.00
    643.40	    447.43	      1.36	      3.19	    741.80	 190154.60
    257.60	    476.91	      1.65	      3.87	    748.10	 182226.00
    267.18	    447.19	      1.62	      3.80	    765.60	 178752.80
    265.17	    446.23	      2.18	      5.12	    760.90	 176821.80
    448.88	    448.79	      1.39	      3.26	    757.70	 174787.90
    813.68	    680.96	      1.37	      3.22	    719.60	 170416.30
    410.77	    703.95	      1.55	      3.63	    729.70	 162574.20
    380.34	    370.00	      1.53	      3.60	    753.70	 160636.40
    784.55	    537.39	      1.36	      3.19	    719.00	 150569.50
    485.09	    477.30	      1.33	      3.12	    748.70	 149485.40
    420.77	    334.92	      1.38	      3.24	    733.70	 149145.40
    438.49	    422.28	      1.82	      4.27	    751.90	 144206.70
    716.04	    680.26	      1.38	      3.24	    727.90	 144068.50
    695.95	    175.75	      1.32	      3.11	    719.00	 137601.60
    541.20	    475.65	      1.31	      3.07	    748.70	 133487.70
    321.19	    254.86	      1.62	      3.80	    738.20	 129951.70
    602.34	    636.84	      1.44	      3.38	    733.90	 128089.20
    523.07	    596.28	      1.36	      3.20	    738.50	 123508.80
    252.54	    572.01	      1.66	      3.91	    741.60	 120428.50
    155.56	    402.38	      1.73	      4.06	    732.50	 118201.80
    601.98	    259.71	      1.30	      3.06	    726.00	 114980.00
    875.04	    572.38	      1.12	      2.64	    715.90	 114344.20
    551.18	    398.74	      1.28	      3.02	    737.80	 109719.50
    932.55	    979.31	      1.58	      3.71	    694.00	 109543.40
    946.98	    629.08	      1.30	      3.05	    704.20	 107489.40
    899.38	    838.80	      1.59	      3.75	    707.50	 107280.00
    812.55	    169.38	      1.43	      3.36	    713.50	 105009.50
    874.58	    913.55	      1.66	      3.89	    700.80	 101941.60
     46.09	    248.02	      1.93	      4.53	    721.90	 101800.00
    399.54	    966.24	      1.78	      4.19	    714.50	 101450.10
